customer_id,company_name,specialized_industries
06ec6a8a-c3d9-4b06-bab2-fd4af45f0788,Skilith,"Colours"
b9b1b6d9-4e0e-4573-b9ef-65c89e091633,Wordify,"Cosmetics;Pharmaceuticals"
4273d6fb-9f90-4965-a2fe-0bf36ac58b31,Pixonyx,"Agriculture;Food"
89690dc5-db68-4020-983c-60b4ce7fb791,Shufflester,"Ploymer"
346a6cda-1197-40af-a639-0b954b6dac3e,Kaymbo,
9839db82-976b-4bcd-a7e8-02c974b8f6bb,Pixoboo,"Lubricants;Polymer"
3f9a6f79-2afb-4d70-86f8-f72161e91ab9,Yabox,"Cleaning"
cc6fbe08-518b-44d1-93ec-2c721c54a79b,Yoveo,"Construction"
eedc2471-4826-4db8-a131-62cac7fbb123,Aimbo,"Oil&Gas;Lubricants;Polymer"
de6094dc-27ac-46a1-843e-fcfd46e238f1,Oyoloo,
894e10e5-ced1-436f-8347-d0f928c06c7e,Linktype,
902737c0-a92f-4a56-9a92-cf01267e66a7,Skiba,
634c3d56-c477-4379-adfc-eeaf3112fa89,Brainbox,"Colours"
6da79821-8fbb-45b5-888b-180ffe1cbd42,Skyba,
a29eb877-77f7-475c-8e21-aef3c86bb975,Npath,
0674efa6-ea2c-4317-8fa2-b685e15ce3b7,Zoombox,"Construction"
54920ba7-09fa-4275-8acf-5ee3ca5ba8fa,Innotype,"Polymer"
aee64b32-b3ed-468c-8c0e-ea79c5f9cc59,Jayo,
23836a89-cbbd-4271-9571-0ec5b90773b8,Dynazzy,"Cosmetics;Pharmaceuticals"
76b2f7d6-0834-4dd0-8e32-7cb160cc27b4,Skynoodle,"Pharmaceuticals"
ace506bd-1f3d-4beb-8c76-4a760fc1786e,Meetz,
62099aa7-72c8-4de5-9494-99ae3bc89ebd,Voolith,"Cosmetics"
7f7378de-6ba7-4c26-96bb-c60f90983171,Blogspan,"Agriculture"
b116e02a-6e15-42c7-9617-9a316ec2b607,Tagcat,"Construction"
163b92ba-dca8-4398-88a1-c7bfa3b8e256,Meevee,"Polymer"
64201d02-48ad-4c0f-8ce6-e64583c2ef3a,Mydo,"Colours;Cleaning"
c737e7e9-2e31-4071-9eb0-3cf08ad70e3e,Livetube,
2b92adb3-9631-4f8f-9e9b-754d12b45c1f,Centimia,"Agriculture"
d3b59a31-7baf-43f5-afd6-754fde1468e2,Avamba,"Food"
b7d11001-d339-407e-9fd5-4438cc21522f,Photobug,"Cleaning"
85ecc5f5-9dc2-4488-b6ad-4ce9ed5c97fc,Jetwire,"Construction"
b3b191a0-745b-4e14-b74c-ba2cf6b30526,Thoughtstorm,"Pharmaceuticals;Polymer"
8d675ab9-3f1d-44af-8e9d-1d5324f002c2,Kazu,"Cosmetics;Food;Pharmaceuticals"
dede099a-6c1d-41fd-83f8-fb316589b2d7,Camido,"Construction"
9df2ccd5-61a2-45fb-ad34-c47e7f97ebaf,Plambee,"Food"
a7b046d4-950e-46ab-bcce-c24b585312f6,Voonyx,"Cosmetics"
890cf742-e1ff-4399-bd38-ecf6f5718006,Skyba,"Agriculture"
89ed0c10-3652-4296-8b7c-a8433ac7404c,Voolia,"Oil&Gas"
